motor                     ,1234                    ,150002                    
motor                     ,1234                    ,150002                    
motor                     ,1234                    ,150002                    
motor                     ,1234                    ,150002
 mobil                    ,1234                    ,150002                    
 mobil                    ,1234                    ,150002 
motor                     ,1234                    ,162201                    
motor                     ,1234                    ,171223                    
motor                     ,1234                    ,171225                    
motor                     ,1234                    ,171226                    
mobil                     ,1234                    ,171246                    
motor                    ,1234                    ,190817                    
motor                    ,1234                    ,190834                    
motor                    ,1234                    ,191945                    
